arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,contrast,n_targets_matched,p_scenario,lo_scenario,hi_scenario,p_nominal_k1,lo_nominal_k1,hi_nominal_k1,diff,diff_lo,diff_hi,discordance_u95,interval,prespecified_primary,confirmatory_decision
B,phase_1,1.7,0.8,1,1.0,False,0,recovery,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,recovery,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,trigger,usable,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,trigger,eligible,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,recovery,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,recovery,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,trigger,usable,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,trigger,eligible,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,redilution,1.7,0.8,0,1.0,False,0,recovery,usable,scenario_minus_nominal_k1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.776393202250021,0.776393202250021,0.776393202250021,cp_discordance_bound,False,False
B,redilution,1.7,0.8,0,1.0,False,0,recovery,eligible,scenario_minus_nominal_k1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.776393202250021,0.776393202250021,0.776393202250021,cp_discordance_bound,False,False
B,redilution,1.7,0.8,0,1.0,False,0,trigger,usable,scenario_minus_nominal_k1,2,0.5,0.0,1.0,1.0,1.0,1.0,-0.5,-1.0,0.0,,paired_cluster_bootstrap_common_draws,False,False
B,redilution,1.7,0.8,0,1.0,False,0,trigger,eligible,scenario_minus_nominal_k1,2,0.5,0.0,1.0,1.0,1.0,1.0,-0.5,-1.0,0.0,,paired_cluster_bootstrap_common_draws,False,False
