oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
604103100006917,61242690,2458366.9304471519,58366.4269097,16.7717285,0.0169924721,0,zg,30.363329100000001,23.831348800000001,0.754999995,-0.0579999983,20180905426898,604,0x3,0x1,21.8799992,26.3298931,0.0252407268,-0.067939572,1.14216564e-05,30,1.01900005,3
604103100006917,61340710,2458367.9107194482,58367.407106500003,16.669796,0.0165559165,0,zg,30.363318100000001,23.831343700000001,1.40499997,-0.0700000003,20180906407083,604,0x3,0x1,21.9599991,26.3424644,0.0247731209,-0.103711858,1.11235922e-05,30,1.03900003,3
604103100006917,61440988,2458368.9135735012,58368.409884300003,16.855484,0.0173874069,0,zg,30.363320999999999,23.831356,0.578999996,-0.0280000009,20180907409884,604,0x3,0x1,21.8999996,26.3460693,0.0271123182,-0.0884854347,1.31148154e-05,30,1.03100002,3
604103100006917,61545145,2458369.9552256255,58369.451458299998,16.7817612,0.0170379989,0,zg,30.3633326,23.831338299999999,2.47199988,-0.0729999989,20180908451412,604,0x3,0x1,22.0200005,26.3439407,0.0260820445,-0.0950041488,1.21902094e-05,30,1.00800002,3
604103100006917,61545243,2458369.956197998,58369.452430600002,16.7874985,0.0170642491,0,zg,30.363325799999998,23.831340999999998,1.88199997,-0.123999998,20180908452396,604,0x3,0x1,22.1200008,26.3347054,0.0249892212,-0.0887980014,1.11993286e-05,30,1.00800002,1
604103100006917,61638731,2458370.8911513416,58370.387314799998,16.8089104,0.0171635896,0,zg,30.3633062,23.831344699999999,1.25399995,-0.0879999995,20180909387303,604,0x3,0x1,21.7900009,26.3523388,0.0271527264,-0.0944871828,1.32771775e-05,30,1.05700004,3
604103100006917,61738429,2458371.8882032586,58371.384294000003,16.7361107,0.0168346185,0,zg,30.363313699999999,23.831369200000001,2.21099997,-0.0450000018,20180910384282,604,0x3,0x1,21.75,26.3891354,0.0277001578,-0.13180165,1.38784744e-05,30,1.05799997,3
604103100006917,61841171,2458372.9156960724,58372.411713000001,16.7716026,0.0169919003,0,zg,30.3633326,23.831347300000001,1.01999998,-0.0579999983,20180911411319,604,0x3,0x1,21.8099995,26.3488941,0.0241264477,-0.0747943968,1.04672599e-05,30,1.01900005,1
604103100006917,61841277,2458372.916760949,58372.412777799997,16.7613106,0.0169456974,0,zg,30.363321899999999,23.831348500000001,1.57200003,-0.074000001,20180911412697,604,0x3,0x1,21.8999996,26.350544,0.0253588874,-0.0803642422,1.16428255e-05,30,1.01800001,3
604103100006917,61940660,2458373.9106622208,58373.406608800004,16.8984222,0.0176034439,0,zg,30.363327699999999,23.831354399999999,0.990999997,-0.0520000011,20180912406562,604,0x3,0x1,21.8500004,26.3402214,0.0248420052,-0.0771100223,1.10454293e-05,30,1.02100003,3
604103100006917,62042815,2458374.9322841871,58374.428159700001,16.7516441,0.0169027448,0,zg,30.363335899999999,23.831364799999999,1.21200001,-0.0270000007,20180913428125,604,0x3,0x1,21.8299999,26.3748684,0.0254632402,-0.105218299,1.17553982e-05,30,1.00800002,3
604103100006917,62143225,2458375.9364500619,58375.4322569,16.7370415,0.0168386716,0,zg,30.363326199999999,23.831349899999999,1.38999999,-0.0879999995,20180914432222,604,0x3,0x1,21.9699993,26.3720055,0.0268335696,-0.103418969,1.29845685e-05,30,1.00800002,3
604103100006917,62143315,2458375.9373529227,58375.433159699998,16.7534103,0.0169105548,0,zg,30.363326399999998,23.831348200000001,1.95700002,-0.0949999988,20180914433160,604,0x3,0x1,21.8999996,26.3734531,0.0261461046,-0.104236528,1.23048367e-05,30,1.00800002,1
604103100006917,62247837,2458376.9826430371,58376.478379599997,16.842701,0.0173249058,0,zg,30.3633247,23.8313478,1.34099996,-0.0109999999,20180915478356,604,0x3,0x1,22,26.3311195,0.0235068817,-0.0704005063,1.00102816e-05,30,1.04900002,3
604103100006917,62338973,2458377.8940574066,58377.389733800002,16.8196678,0.0172143374,0,zg,30.3633229,23.831351699999999,1.40699995,-0.0719999969,20180916389734,604,0x3,0x1,21.7900009,26.361084,0.0284432229,-0.127101079,1.45792947e-05,30,1.02600002,3
604103100006917,62445380,2458378.9582004724,58378.453807899998,16.7684631,0.0169777572,0,zg,30.363343,23.831360499999999,1.26300001,-0.0480000004,20180917453773,604,0x3,0x1,21.6900005,26.3765774,0.0274419151,-0.117072217,1.36169683e-05,30,1.02400005,1
604103100006917,62447399,2458378.9783869619,58378.4739931,16.7884445,0.0170685854,0,zg,30.363330000000001,23.831346799999999,0.930999994,-0.0850000009,20180917473634,604,0x3,0x1,21.8299999,26.3425999,0.0268065874,-0.0796735808,1.28843976e-05,30,1.04999995,3
