source_id,ra,dec,tic,gmag
9600000000631344957,33.36779166666667,-64.61913888888888,631344957,16.98
9600000000632543879,37.097458333333336,13.790916666666666,632543879,16.98
9600000000640201450,50.287625,14.182222222222222,640201450,17.17
9600000000651462582,46.887875,-46.887861111111114,651462582,17.08
9600000000661119673,70.74295833333333,32.621,661119673,17.37
9600000000683837451,74.61295833333334,-65.66761111111111,683837451,17.4
9600000000685410570,75.04791666666667,-50.77011111111111,685410570,17.04
9600000000686044219,65.454,-35.9805,686044219,17.13
9600000000712406809,99.82183333333334,1.2248611111111112,712406809,16.22
9600000000724128806,84.35091666666668,-80.76380555555555,724128806,17.48
9600000000733030384,83.01629166666667,-65.60275,733030384,16.89
9600000000762000503,111.78354166666668,14.871166666666667,762000503,17.22
9600000000775564285,116.55754166666668,-30.43080555555556,775564285,16.03
9600000000800126377,132.867375,6.097527777777778,800126377,16.82
9600000000800153845,133.78020833333332,6.594444444444444,800153845,16.656
9600000000800420812,130.232125,13.058166666666668,800420812,17.19
9600000000804899734,128.24208333333334,-76.01830555555556,804899734,17.4
9600000000842451090,155.3864583333333,14.02338888888889,842451090,17.05
9600000000900228144,165.341375,40.26280555555556,900228144,17.47
9600000000900762564,174.40991666666667,80.26669444444444,900762564,16.89
9600000000902514572,175.82958333333332,-8.020944444444446,902514572,17.13
9600000000951016050,183.54979166666664,-34.979416666666665,951016050,17.03
9600000001001545355,213.47483333333332,71.6035,1001545355,16.99
9600000001102242692,232.038625,55.654,1102242692,17.09
9600000001102346472,223.348,59.84894444444445,1102346472,17.16
9600000001108505075,236.232,-69.1528888888889,1108505075,16.993
9600000001173423962,220.31004166666668,-38.77491666666666,1173423962,17.38
9600000001201194272,248.49479166666669,59.20183333333333,1201194272,17.13
9600000001309155088,253.61041666666668,23.878194444444446,1309155088,16.99
9600000001860439362,290.47745833333335,27.243722222222225,1860439362,17.0
9600000001944049427,309.517875,23.683305555555556,1944049427,17.16
9600000001989258883,303.6646666666667,-56.917138888888886,1989258883,16.62
9600000001989866634,310.798875,-46.18013888888888,1989866634,17.38
9600000002026445610,321.0880833333333,-63.17011111111111,2026445610,17.27
9600000002045970633,356.28054166666664,58.22083333333334,2045970633,16.88
9600000002055504010,341.4782916666667,-45.01636111111111,2055504010,16.84
