tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
167486543,2,1893101535448502400,confirmed,423,9301674865432220000,9201674865432220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
188087204,0,2931529038838835712,confirmed,10,9301880872040220000,9201880872040220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
188087204,1,582901519620616192,not_detected,53,9301880872041220000,9201880872041220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
188087204,2,2867203584218146944,not_detected,382,9301880872042220000,9201880872042220000,confirmed,confirmed,True,True,True,True,True,False,True,both,B_only,postlaunch_descriptive,False,none
192937035,0,1747832062024486912,confirmed,6,9301929370350220000,9201929370350220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
192937035,1,2086392484165035136,not_detected,56,9301929370351220000,9201929370351220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
192937035,2,1893101535448502400,confirmed,423,9301929370352220000,9201929370352220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
201860926,0,3118034111008915712,not_detected,10,9302018609260220000,9202018609260220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
201860926,1,3341996555048041856,confirmed,63,9302018609261220000,9202018609261220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
201860926,2,4002914643768684288,not_detected,420,9302018609262220000,9202018609262220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
207206751,0,2709363196787375488,not_detected,16,9302072067510220000,9202072067510220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
207206751,1,5068764619981087488,not_detected,97,9302072067511220000,9202072067511220000,candidate,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
207206751,2,1261751715280478848,confirmed,530,9302072067512220000,9202072067512220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
220555122,0,3705386281897262848,not_detected,6,9302205551220220000,9202205551220220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
220555122,1,323342459647016448,confirmed,75,9302205551221220000,9202205551221220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
220555122,2,2260805780286092032,candidate,478,9302205551222220000,9202205551222220000,confirmed,not_detected,True,True,True,True,False,True,False,A_only,A_only,postlaunch_descriptive,False,none
