source_id,wdj_name,wd_class,known_roster,in_core,n_variants,ls_complete,blind_status,best_pass,best_frequency_per_day,best_period_days,best_period_seconds,basis,best_band_fap,zg_fap,zr_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_alias,zr_alias,low_zg_a95_mmag,low_zr_a95_mmag,high_zg_a95_mmag,high_zr_a95_mmag,low_pass_available,high_pass_available,low_unavailable_reason,high_unavailable_reason,n_exp_zg,n_exp_zr,baseline_days,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution,selection_stratum
898348313253395968,WDJ071816.42+373139.24,unclassified,False,True,4,True,confirmed,high,127.74359880638552,0.0078281808978596,676.3548295750778,zg+zr,1.0479137198321065e-109,5.935215874353909e-08,1.0479137198321065e-109,6.093868500518268,20.13485226165302,False,False,8.020344627742594,4.790063364159138,3.133352162794204,3.84441518755131,True,True,,,658,1531,2764.2756112134084,,,,,confirmed_high_strong
1561515526026874624,WDJ135120.25+545742.59,unclassified,False,False,2,True,confirmed,high,413.0400151328802,0.0024210729308594,209.18070122625767,zg+zr,2.489282687094441e-64,2.489282687094441e-64,6.398933126735269e-33,9.455936964354668,6.432048723593438,False,False,3.080533978166084,2.4332392783209538,2.252459790313744,1.9873974360523023,True,True,,,1958,1756,2701.803051393013,,,,,confirmed_high_strong
4479342339285057408,WDJ183202.83+085636.24,unclassified,False,True,4,True,confirmed,high,489.8872404498889,0.002041286070406,176.36711648307966,multiband+zr,5.27143096256847e-60,0.9999999999999998,5.27143096256847e-60,3.104331803758023,20.518503096066706,True,False,9.796955204074836,7.997125190178063,2.913358080651769,5.085816954757211,True,True,,,523,1201,2770.6970441034064,,,,,confirmed_high_strong
3108589752806346112,WDJ071330.96-012623.40,unclassified,False,True,4,True,confirmed,high,127.61841410214478,0.0078358597937097,677.0182861765239,multiband+zr,1.868108215344964e-58,1.0,1.868108215344964e-58,1.190616027206665,27.557804755881783,False,False,16.314320593322652,7.939425886706158,2.870531953887589,7.354734602130602,True,True,,,390,803,2762.280261477921,,,,,confirmed_high_strong
2026653131220381824,WDJ195227.88+250929.18,unclassified,False,True,4,True,confirmed,high,337.196016901241,0.0029656340818903,256.2307846753276,multiband+zr,3.9222614179922576e-56,0.0129616670396739,3.9222614179922576e-56,3.693313953944008,7.719506425650576,False,False,6.565397464377548,3.3981423619220226,3.1061879028702086,1.886554001624989,True,True,,,583,1340,2744.744676210452,,,,,confirmed_high_strong
4311451556624073472,WDJ184639.21+094255.37,unclassified,False,False,2,True,confirmed,high,1230.9345467848111,0.0008123908802559,70.19057205411606,multiband+zg,0.0001707739131374,0.0001707739131374,1.0,2.1950300633708206,1.684821244077145,False,False,5.630624294544375,21.970794827187223,1.6154699690514298,4.294677534906325,True,True,,,567,1364,2743.7287372555584,,,,,confirmed_high_marginal
4591984007008243840,WDJ182802.52+312726.85,unclassified,False,True,4,True,confirmed,high,959.1393050761462,0.001042601418488,90.08076255736458,multiband+zg,0.0003549239167084,0.0003549239167084,1.0,18.530003917384764,9.329293598789514,False,False,55.77018411527168,31.363344940004623,14.650920965307956,16.364842950766256,True,True,,,59,72,2177.9240685794502,,,,,confirmed_high_marginal
2118062851443364096,WDJ183040.20+451825.65,unclassified,False,True,4,True,confirmed,high,218.0146588914305,0.0045868475316514,396.30362673468886,multiband+zr,0.0006162501811025,1.0,0.0006162501811025,1.2533657621556498,4.06856472078684,False,False,4.514156379481436,3.722334446248135,2.6049522057896124,2.2974270609294782,True,True,,,1343,1444,2771.732316891197,,,,,confirmed_high_marginal
900182131145007104,WDJ072929.53+391012.09,unclassified,False,False,2,True,confirmed,high,931.1308350719294,0.0010739629301641,92.79039716617874,multiband+zg,0.0006745426245907,0.0006745426245907,1.0,3.5603675121167417,1.422034725122023,False,False,7.993756603752936,9.243078924848833,3.025356048236129,5.120679342328619,True,True,,,58,136,2538.081510389224,,,,,confirmed_high_marginal
1604590130995452032,WDJ143047.25+510730.35,unclassified,False,True,4,True,confirmed,high,143.41014936978232,0.0069730071713509,602.4678196047203,multiband+zg,0.0009619350964072,0.0009619350964072,1.0,7.603525007387056,3.3040226442174623,False,False,8.9438428448854,6.530734036903598,4.752335972368112,4.004838732442801,True,True,,,1179,1200,2701.8842343199067,,,,,confirmed_high_marginal
