sid,external_id,class_label,label_positive,weight,cluster,primary_freq,amp,truth_period_days,freq_scorable,arm,scenario,template_k,pool_index,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,null_serial,control_campaign_id,shard_sha256,median_exp_per_night,template_status,baseline_days,n_exp_zg,n_exp_zr,best_pass,best_status,best_frequency_per_day,low_available,high_available,low_status,low_frequency_per_day,low_match,low_match_primary,low_eligible,high_status,high_frequency_per_day,high_match,high_match_primary,high_eligible,best_candidate_matches_any_mode,best_candidate_matches_dominant,any_top_peak_matches_any_mode,eligible_any_pass,census_variable,census_g_nightly,prov_valid,platform_boundary_sensitive,platform_boundary_fields
9200337175651220000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,nominal,1,531,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000531,29f70eaa8aeb15d78bf98f863eefc6f2866ad1608f28d29eeff06fb0eb945876,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9300337175651220000,TIC 33717565,arm_A,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,A,nominal,1,531,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,4846cd45236773f61f5caad0e64260060b343a9e12645369b12ff8c5d15256ff,1.0,not_detected,2745.310344768688,456,528,high,not_detected,676.1004459154649,True,True,not_detected,39.830105258723734,unmatched,unmatched,False,not_detected,676.1004459154649,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175652220000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,nominal,2,881,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000881,6f78f3f1df60d82d8995505394e915e0e0b6e9355965f89492ac8351d154cb84,1.0,confirmed,2767.2332345717587,762,786,high,confirmed,236.76421251536263,True,True,not_detected,10.015527297715858,unmatched,unmatched,False,confirmed,236.76421251536263,direct,direct,True,direct,direct,True,True,False,False,True,False,
9300337175652220000,TIC 33717565,arm_A,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,A,nominal,2,881,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,1dad822a3a445adcd918df57bff380634605978ee1fff04ee46ef8c3f96168c1,1.0,confirmed,2767.2332345717587,762,786,high,confirmed,236.76421251536263,True,True,not_detected,15.765819611786924,unmatched,unmatched,False,confirmed,236.76421251536263,direct,direct,True,direct,direct,True,True,False,False,True,False,
9200337175651110000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g1r1,1,531,1.4,0.7,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,3602cfb44a88b227633b6b2513bfd88659568591dc666749317107966d5b4595,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,634.9061233080043,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651120000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g1r2,1,531,1.4,0.8,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,3a6a6f966864f68ef94e93b0cf505587a43c36936bfa70952bc14f623afa8d17,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,634.9061233080043,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651130000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g1r3,1,531,1.4,0.9,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,e4ef76a423ff4b59106a2e38da65cfa6aadda3b1449a2f4e388faf6634c7fbbe,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651210000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g2r1,1,531,1.7,0.7,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,9dcb87b4b41ff7b0d19bcfba3a8be8b799361c460e722387271038aff591cbfb,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651230000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g2r3,1,531,1.7,0.9,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,e63e46fa20cbbaa1f042c4c4f8480084931901407dc7d1e1be07317eb65c0efa,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651310000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g3r1,1,531,2.1,0.7,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,59796702e827601cfb51dacc526fc870196b8bd2970062439d7c5ae073d597e8,1.0,not_detected,2745.310344768688,456,528,low,not_detected,46.77733438942771,True,True,not_detected,46.77733438942771,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
