source_id,status,result_sha256,provenance_sha256
9200135666241221000,complete,e40f70dd8af853c03d63f5983e820a4aff1e5414f5ccc1b5c0532fd3baecf627,eaf35b82c82df3ffc8f4d799ea315271728662fad99e950d81b36f9e8e88075d
9200135666241222000,complete,15fc8ff938c988f68fe43d8bb4294371848db6ee3342f4261b1695a359a980da,8160b2815271ae1420ed2714a29faaa697ee86de4c87d204cab438a69972b62b
9200135666241230000,complete,c1167c62125f4341222466cfe87b6679c6f5c5b1ea29b26fe424ea13f632a0e6,5e0fcffc890abb10404cd20357b84fd57a8701b5d8e8dff9be75288f3df8493e
9200135666241310000,complete,14f251043b9a451dea5e69fbe596b3a23dc37b3c603cfb11e632baa11e513deb,8a36adc7324e38f0caa6b16ac6a522624433b28049134672451418101cc3ba9f
9200135666241320000,complete,afcfb0b8ea13c8f06225dd07c2a2f1d6934c3320968ac6b31c0a3958567e9961,7dc55a15871eedec27fdbc7f03648a94700c282e8325bef442050a5f43c1c169
9200135666241330000,complete,f4a7061d51f3fef463eb852992e6419c550bf89a8cf10bc6732df66e3684e8f9,f77c413998eb078393b97da00d761589ad6d5092002dcc32a91b4adbb6e6f340
9200135666242220000,complete,fbc4969c2ebe98637f011abeae6a22067caed830ccf80dbdf4a417fa226942ba,69377c18a8693613e5ce75f03ea2cdc1df4a178859346d33b7ffb01d6b56e76c
9200144486100220000,complete,4a352aa98e675b4fc5ec8964f84fb5f7dbda892b436906d88ae21621f180193f,d84699c495a45147012474a1f114225d50bcdf50bd8ef12b8b6f3b912d9175f8
9200144486101110000,complete,9a7bab0486752b2d7e1d1e9ccb21b0230f8683441f58ba8640fe4b9301750a58,b04136956469fecc34777ab9b5263b979c11e5c4d8fe070dc169f234f2cc982e
9200144486101120000,complete,bac7c595afc9aef71d1128a45d11b4b29ccde21533cfefac260f7792f8338c83,8910e7a9b141d381ecf26c6a42f4f5f218994897f8dce6ec6d0325b0c3f88190
9200144486101130000,complete,da776db1dc07a41d16dbf2a9c4f61e9d79a13481fd7a82183a35764395f520ec,8fb66ead9e6b13f99f4ba6f147d2a0ed716a874dd8fa89d47c0632a2351509ae
