tic,period_s,published_amp_ppt,recovered_amp_ppt,amp_ratio,snr,spoc_snr4_limit_ppt,paper_fap_ppt,marginal_vs_paper_fap,marginal_vs_spoc_limit
264172524,336.26,2.78,1.312528635945949,0.47213260285825503,1.5927342526948767,3.296290347809561,2.45,True,True
264172524,463.08,5.69,4.1200341373427705,0.7240833281797487,4.999601009153336,3.296290347809561,2.45,False,False
264172524,847.81,2.62,1.3326188721062666,0.5086331572924682,1.6171134596705823,3.296290347809561,2.45,True,True
103700861,536.92,5.54,5.1933173234736545,0.9374218995439809,5.8184440212323665,3.5702447627045775,4.5,True,False
103700861,715.9,4.59,4.144490054257748,0.9029390096422109,4.643367981435716,3.5702447627045775,4.5,True,True
14448610,373.57,3.04,2.7048253367922346,0.889745176576393,4.623456115466414,2.3400895514020656,2.84,True,True
14448610,472.13,5.42,5.360017111980081,0.98893304649079,9.162071782712118,2.3400895514020656,2.84,False,False
14448610,496.91,4.89,4.978722807189846,1.0181437233517068,8.510311589070328,2.3400895514020656,2.84,False,False
14448610,527.92,3.08,1.7018983671406163,0.5525644049157845,2.909116646618798,2.3400895514020656,2.84,True,True
14448610,634.34,4.7,5.182648280839614,1.1026911235828967,8.858888802327122,2.3400895514020656,2.84,False,False
14448610,679.27,3.47,2.9045047558459918,0.8370330708489889,4.96477539349852,2.3400895514020656,2.84,True,True
394015496,309.31,4.08,4.032048479216496,0.988247176278553,9.050652157634875,1.7819924615333598,2.26,False,False
394015496,309.79,5.38,7.6671994923912345,1.4251300171730918,17.210397143417325,1.7819924615333598,2.26,False,False
394015496,310.27,4.64,4.813673358977712,1.0374296032279553,10.805148647678717,1.7819924615333598,2.26,False,False
192937035,298.27,5.25,2.86570783378454,0.5458491111970553,3.5205171606259626,3.2560078000301584,4.55,True,False
900762564,260.78,4.61,4.586018597940229,0.9947979605076418,5.474646757501917,3.350732057118389,4.32,True,True
900762564,268.39,5.12,4.350905502929433,0.8497862310409049,5.193976037190139,3.350732057118389,4.32,True,False
900762564,885.55,4.33,3.4814679041675745,0.8040341580063682,4.156068399168411,3.350732057118389,4.32,True,True
141179495,253.86,4.46,2.454705535401078,0.5503824070406004,3.7077208477386274,2.6482096535376716,3.87,True,False
423658036,372.32,4.344,2.174838548946932,0.5006534412861262,3.6419696007903126,2.38863998038313,3.637,True,False
21187072,776.71,3.56,3.424926887666788,0.9620581145131427,6.946222883616451,1.9722528027396953,3.13,True,False
