campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200056241841220200,B,ampscale_1.3,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.8,0,1.3,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,4b68bc1571fb69a53bbbce1c31b1ede8f3c1c32a82913958bc08b72bc324d05a
9200056241841220300,B,dropout,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.8,0,1.0,True,503.99,,0,20.0,1,tol_0.25,9500000000000000660,-1,2,0,1c6fc55778f5bb936b6a431212e33e52541935dad85ec222ec92a5efbc8a24a2
9200076758590220000,B,nominal,7675859,1893101535448502400,confirmed,0,170,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000170,-1,6,0,3081e4c092c53d5fcfded1fb0daefce140a77f526adbd6f5641f1e7903bb892d
9300076758590220000,A,nominal,7675859,1893101535448502400,confirmed,0,170,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,82691cda3678ba6ea8495df52ddad63dacb96534ed37255ec3803ef9831fd1d3
9200076758591220000,B,nominal,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000610,-1,6,0,ee4ce80b1dd7063cbca35ee4bbafdd62b1f952bf84fa16f523cf0593269ec4c0
9300076758591220000,A,nominal,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,c87561127f72510db03396980a5d139abe36f031a1f41c931519dd683f1d14ca
9200076758592220000,B,nominal,7675859,866850569292962688,candidate,2,901,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000901,-1,6,0,7c529f0258809c54326f60d95f3870e43e6a6848cd6f3490aa351beabff0de29
9300076758592220000,A,nominal,7675859,866850569292962688,candidate,2,901,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,58ed3aa0b2fcdf8066b9864d9654fb4a270581cab9d76d2e3722bcebd4f744cf
9200076758591110000,B,ladder_g1r1,7675859,4089730604499317760,not_detected,1,610,1.0,1.4,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,18ebd3e5ca05c87afae1e7286944c1269ced311adf03b053bacf1bdca9edbb88
9200076758591120000,B,ladder_g1r2,7675859,4089730604499317760,not_detected,1,610,1.0,1.4,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,23c670c3961a35de581df4f4e064fc54e0d1f3e449961c921fd577c096a45d7f
9200076758591130000,B,ladder_g1r3,7675859,4089730604499317760,not_detected,1,610,1.0,1.4,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,82f1ad4f2673c5785d5d6df06956b3a438017ae7a6ecc540e79aae294309398c
9200076758591210000,B,ladder_g2r1,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,91c9ea34c5bd8d074ad4d323bcb20bd05e223938ebef20cb9f6a8b81d3b8b168
9200076758591230000,B,ladder_g2r3,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,1dd305a258a35b7f6292d8c486498d9cdee501d73e21f181ce992aed3a54b320
9200076758591310000,B,ladder_g3r1,7675859,4089730604499317760,not_detected,1,610,1.0,2.1,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,d8d5afd231e440437da7feb11cb688cb4b53c6e2b3891d1b7bd9e0d38f569bb2
9200076758591320000,B,ladder_g3r2,7675859,4089730604499317760,not_detected,1,610,1.0,2.1,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,ae23a0e2add8388de655387c86fcde7d5a19b7352c12afd4f5cc1b4984f846ab
9200076758591330000,B,ladder_g3r3,7675859,4089730604499317760,not_detected,1,610,1.0,2.1,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,b8c29573e38933a448d607979132e5ac1a3d557afc50ab0778bc8d57bd45a9f4
9200076758591221000,B,phase_1,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,1,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,8ee0a7a488a8ef977de9140061c6571029eda4540bd21eecb8c5256056a9390b
9200076758591222000,B,phase_2,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,2,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,77e2446a1b9870b1ac87ac20eb0e982209e6c534f87358ad0bc3893bf6650e72
9200076758591220100,B,ampscale_0.7,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,0,0.7,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,bcf73a8209e098e25e75d4b0afb38ea071d8845b332e3c739b5bc3614f0d8431
9200076758591220200,B,ampscale_1.3,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,0,1.3,False,,,0,20.0,1,tol_0.25,9500000000000000610,-1,6,0,33cccfeb5cead78bdc3647d50c6b3a68dc3e9082e949bd0d5ab7e94b58abb008
9200076758591220300,B,dropout,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,0,1.0,True,353.25,,0,20.0,1,tol_0.25,9500000000000000610,-1,5,0,2bd31e4fcf6d04fde4a01143cf34514fa88a4005902c96b95a83ae08f75fdbac
9200076758591220001,B,cadence_alt,7675859,4089730604499317760,not_detected,1,610,1.0,1.7,0.8,0,1.0,False,,,1,120.0,1,tol_0.25,9500000000000000610,-1,6,0,46adc7cabe82cac425bc117f4627ec1f1eba99dd888bf025db812c614c9cb6f1
9200084456650220000,B,nominal,8445665,1809460380271929344,confirmed,0,146,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000146,-1,5,0,5ff287837777c680b7f7ba9a22ca3352db3b05b0b965624ffed65f8371615a86
9300084456650220000,A,nominal,8445665,1809460380271929344,confirmed,0,146,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,5,0,dd17e973895f5cc1321198f686aedf9d4cbdc9983742bd2e1c6ca535ed687dc5
9200084456651220000,B,nominal,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000567,-1,5,0,b615366f75686d63cd9fa988089d9c7f18a0f5dd34184441249d51fa32b2897a
9300084456651220000,A,nominal,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,5,0,b4026b6ecb44b9f6eb07b86bf4b6be13c6e4665011e41fa05ca236593a55b9cf
9200084456652220000,B,nominal,8445665,995265457176512384,not_detected,2,927,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000927,-1,5,0,cf9a1ce53649cb0fdcf2dc985700e9a08a501b135cef8eb96a77f465d0eee00f
9300084456652220000,A,nominal,8445665,995265457176512384,not_detected,2,927,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,5,0,bf945e9fc551c2f2f70574479fc84b714d7fda1e9d3e567053dcb1a18af1660f
9200084456651110000,B,ladder_g1r1,8445665,3818342165139791232,not_detected,1,567,1.0,1.4,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,9e4690ea220ae7c9f30a0ef50a6665c9decf01bb53451b45a1af5487b85096db
9200084456651120000,B,ladder_g1r2,8445665,3818342165139791232,not_detected,1,567,1.0,1.4,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,5fbf7d54065a9da15b6c435761caccdf6022acac0c57aec10ac53450af7c69bb
9200084456651130000,B,ladder_g1r3,8445665,3818342165139791232,not_detected,1,567,1.0,1.4,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,07a734819850c648e139b71cf98c8e3e61c35778b6d23e6f09d4eb0ae9cc6fce
9200084456651210000,B,ladder_g2r1,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,9399a8ae7743328efd3c0c8b541ca335b97cdf4ff19f1814c0d3149f54d6a08e
9200084456651230000,B,ladder_g2r3,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,81a55dec837b49ded98e03859b60bde7bf80490d79528db795900792fbe50aa1
9200084456651310000,B,ladder_g3r1,8445665,3818342165139791232,not_detected,1,567,1.0,2.1,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,08065356ccf3cf64ddc09a551b4e19e6d2d3b56a99811c34c71876388ebd0212
9200084456651320000,B,ladder_g3r2,8445665,3818342165139791232,not_detected,1,567,1.0,2.1,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,b645c06806be4007d88a5fb56f361ede1c9d16406af1e462f316dc7e8dc2d2be
9200084456651330000,B,ladder_g3r3,8445665,3818342165139791232,not_detected,1,567,1.0,2.1,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,548ee284f1d039673ed995bb4b1636032fe03c7a557d3ce18ddb3a535df4c29b
9200084456651221000,B,phase_1,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,1,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,c3ef1e1a8bc587eaf490f5070589f6b7fdc0e36380d3b98f0c2d9c2b63435a36
9200084456651222000,B,phase_2,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,2,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,13bc77b2f6152ae45da7750a9a0d823d109e27acabfcddbf74c653fce8adeb00
9200084456651220100,B,ampscale_0.7,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,0,0.7,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,7681b896272fc21e8781db6ce6549a3c622578331c9ed2e6a090cf5680cc5631
