entity,y_true,pred_mean,predicted_rank,expected_rank,realized_rank,p_top5,p_top10,p_top25
GaiaDR3_5107487117411370752,17.674747467041016,17.77068460702896,134,132.49725,190,0.0,0.0,0.0008333333333333334
GaiaDR3_2532727272261119616,17.770414352416992,17.770432290236155,135,132.74116666666666,131,0.0,0.0,8.333333333333333e-05
GaiaDR3_3775992486225955712,17.775766372680664,17.769005370775858,136,133.69891666666666,127,0.0,8.333333333333333e-05,0.0004166666666666667
GaiaDR3_4162484086261832960,17.741092681884766,17.768443509896596,137,134.09708333333333,147,0.0,0.0005,0.0010833333333333333
GaiaDR3_1374086241309961600,17.705829620361328,17.766514624913533,138,135.40791666666667,171,0.0,8.333333333333333e-05,0.0003333333333333333
GaiaDR3_3204352783173513728,17.697383880615234,17.765834033807117,139,135.86516666666665,177,0.0,8.333333333333333e-05,0.0005
GaiaDR3_3095033113731843712,17.829360961914062,17.763901685237883,140,137.20158333333333,85,0.0,0.00016666666666666666,0.0005
GaiaDR3_4002567743555141760,17.70962905883789,17.75910681215922,141,140.393,168,0.0,0.0,8.333333333333333e-05
GaiaDR3_6843363738533248768,17.745080947875977,17.757576917648315,142,141.38191666666665,145,0.0,8.333333333333333e-05,0.00016666666666666666
GaiaDR3_3738139943013858816,17.737621307373047,17.756985410372415,143,141.8085,150,0.0,0.00016666666666666666,0.0004166666666666667
GaiaDR3_3426576074700535040,17.721820831298828,17.754666347026824,144,143.25766666666667,159,0.0,8.333333333333333e-05,0.00016666666666666666
GaiaDR3_3087408657726940928,17.808446884155273,17.754232882817586,145,143.59783333333334,105,0.0,0.0,0.0005833333333333334
GaiaDR3_4513890579470651392,17.73290252685547,17.752480122884116,146,144.72141666666667,152,0.0,0.0,0.00025
GaiaDR3_1155921079702524160,17.775632858276367,17.750745642185212,147,145.88791666666665,128,0.0,0.0,0.0004166666666666667
GaiaDR3_2230104696925290368,17.74578094482422,17.7497591047287,148,146.51491666666666,144,0.0,0.0,0.00025
GaiaDR3_3819282286235442688,17.770671844482422,17.74903480784098,149,146.96216666666666,130,0.0,8.333333333333333e-05,0.0005833333333333334
GaiaDR3_2018186307564757760,17.666399002075195,17.748414497852327,150,147.327,198,0.0,0.0,0.0005
GaiaDR3_3656469211440196736,17.70562171936035,17.747845016002653,151,147.68225,172,0.0,8.333333333333333e-05,0.0003333333333333333
GaiaDR3_5074386693516499456,17.71334457397461,17.74695270204544,152,148.29166666666666,164,0.0,0.0,0.0005
GaiaDR3_703238016399341824,17.778526306152344,17.74658449904124,153,148.50808333333333,123,0.0,0.00016666666666666666,0.0003333333333333333
GaiaDR3_1893512958955407232,17.74968719482422,17.74618320465088,154,148.80275,143,0.0,0.00016666666666666666,0.0003333333333333333
GaiaDR3_2672992211134257152,17.77597999572754,17.742098116556804,155,151.30116666666666,126,0.0,8.333333333333333e-05,0.0003333333333333333
GaiaDR3_2043899619620928000,17.82405662536621,17.740385399977367,156,152.36316666666667,87,0.0,8.333333333333333e-05,0.0004166666666666667
GaiaDR3_1235533276400203776,17.76797866821289,17.736634152730307,157,154.62441666666666,134,0.0,0.0,8.333333333333333e-05
GaiaDR3_4591984007008243840,17.645835876464844,17.734170182704926,158,156.12358333333333,208,0.0,0.0,0.0
GaiaDR3_1869749145436680576,17.779808044433594,17.727587844371797,159,160.05933333333334,122,0.0,8.333333333333333e-05,0.0004166666666666667
GaiaDR3_1534384148897669248,17.779876708984375,17.726251039822895,160,160.86091666666667,119,8.333333333333333e-05,0.00016666666666666666,0.00016666666666666666
GaiaDR3_3045879828670086144,17.768341064453125,17.726160591443378,161,160.904,133,0.0,8.333333333333333e-05,0.00025
GaiaDR3_1974423541446133248,17.757543563842773,17.726114472707113,162,160.97275,139,0.0,0.0,8.333333333333333e-05
GaiaDR3_183138612392838784,17.752426147460938,17.72299109729131,163,162.813,141,0.0,8.333333333333333e-05,0.0004166666666666667
GaiaDR3_5090605830056251776,17.70745086669922,17.722797157764436,164,162.91008333333335,170,0.0,0.0,0.00016666666666666666
GaiaDR3_3635841484244996096,17.699413299560547,17.722497860908508,165,163.07091666666668,176,0.0,0.0,0.0
GaiaDR3_3325045075045791744,17.67629623413086,17.72182790660858,166,163.47066666666666,189,0.0,8.333333333333333e-05,0.00025
GaiaDR3_1410345596469085184,17.760374069213867,17.720750800768535,167,164.05925,136,0.0,0.0,0.00025
GaiaDR3_4346426506065208192,17.678037643432617,17.713793474992116,168,168.03341666666665,188,0.0,0.00025,0.0005
GaiaDR3_2167899311189012736,17.710865020751953,17.712720686753592,169,168.62983333333332,167,0.0,8.333333333333333e-05,8.333333333333333e-05
GaiaDR3_1039815430652482560,17.703556060791016,17.712392338752746,170,168.83458333333334,173,0.0,0.00025,0.0004166666666666667
GaiaDR3_3321033403790648704,17.696258544921875,17.711373380502064,171,169.397,178,0.0,8.333333333333333e-05,8.333333333333333e-05
GaiaDR3_642198323440548480,17.7077579498291,17.708855471611024,172,170.79883333333333,169,0.0,0.0,0.0
GaiaDR3_1022716139350977792,17.72052001953125,17.705207126140593,173,172.86691666666667,160,0.0,8.333333333333333e-05,8.333333333333333e-05
GaiaDR3_1794680225259350144,17.7402286529541,17.702867977778116,174,174.10216666666668,149,0.0,0.0,0.0
GaiaDR3_3369166170266811520,17.71148681640625,17.70117858250936,175,175.03108333333333,165,0.0,8.333333333333333e-05,0.00025
GaiaDR3_5146019876066016000,17.72483253479004,17.699542765776318,176,175.91583333333332,157,0.0,0.00016666666666666666,0.00016666666666666666
GaiaDR3_153053427336817152,17.692363739013672,17.699129159450532,177,176.09483333333333,181,0.0,0.0,0.0
GaiaDR3_2965139013348941952,17.666122436523438,17.69715575504303,178,177.23633333333333,199,0.0,8.333333333333333e-05,0.00025
