source_id,blind_status,best_pass,best_frequency_per_day,best_period_days,best_band_fap,basis,nearest_daily_systematic,distance_to_daily_systematic_per_day,wide_daily_alias_0p01
4505197187707403008,candidate,low,1.011008939234607,0.9891109377895893,3.5600795695881354e-11,zr,sidereal_1,0.00827102988460715,True
3453072170325688960,candidate,low,4.021295506153182,0.2486760792560136,0.0003060138101339,zr,sidereal_4,0.01034386875318205,False
5122120788245323904,confirmed,low,8.032287700388473,0.1244975326209538,9.019803454913587e-06,multiband+zg,sidereal_8,0.010384425588473079,False
5185437677159551872,confirmed,low,43.01057488746184,0.0232500961127937,0.0009317130985424,multiband+zg,solar_43,0.010574887461842764,False
2466766946939761280,confirmed,low,5.98930747372147,0.1669642115365714,1.846758385383201e-52,zg+zr,solar_6,0.01069252627852979,False
3745268523573825792,candidate,low,16.01128118825459,0.0624559639070963,1.1318608152025764e-05,zr,solar_16,0.011281188254589125,False
3745268523572692480,candidate,low,16.011281188543087,0.062455963905971,1.1318546563060531e-05,zr,solar_16,0.01128118854308724,False
1898174235426878208,confirmed,low,4.024000293013391,0.2485089282265298,0.0,zg+zr,sidereal_4,0.013048655613391524,False
511736836405868416,confirmed,low,2.9859211816286013,0.3349050223270037,1.6350922171712693e-111,zg+zr,solar_3,0.014078818371398683,False
2118062851443364096,confirmed,high,218.0146588914305,0.0045868475316514,0.0006162501811025,multiband+zr,solar_218,0.014658891430514132,False
4467762012240933888,candidate,low,2.9830808915547835,0.335223896486025,1.2150586408482536e-06,zr,solar_3,0.01691910844521649,False
1747832062024486912,confirmed,high,282.78943226393017,0.0035362000340475,2.5529117650556344e-15,multiband+zr,sidereal_282,0.01734182723015465,False
1604590130995452032,confirmed,high,143.41014936978232,0.0069730071713509,0.0009619350964072,multiband+zg,sidereal_143,0.018628332732333774,False
3446909137068558464,confirmed,high,317.9808836364657,0.0031448431382537,9.305713390745292e-07,multiband+zr,solar_318,0.019116363534294578,False
2206722349507123456,confirmed,low,15.019552504021124,0.0665798797755308,3.1641453999520127e-237,zg+zr,solar_15,0.019552504021124406,False
1555179177955997440,candidate,low,16.021971890297152,0.0624142900041908,0.0003582900494399,zr,sidereal_16,0.021834659302847115,False
1336988963803208192,confirmed,low,0.9778456090014184,1.0226563281510317,4.8663394319419416e-17,zg+zr,solar_1,0.02215439099858163,False
