campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,template_wg_contrasts,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200076758591220100,B,ampscale_0.7,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,0,0.7,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,0efae60e04ff483f6f88cc48307fab8135baf34cde0d7f22f4a0e1da8e561d8f
9200076758591220200,B,ampscale_1.3,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,0,1.3,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,5c90e3fe5e635ec149b2aa4a5f619b663a1f39c1579bce5a31d0289b0d6194f8
9200076758591220300,B,dropout,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,0,1.0,True,353.25,,0,20.0,1,tol_0.25,9500000000000000778,-1,5,0,ffa6642f2cc22ba0067f176c9ed56d8cb066388ce6142c0630b8aa3f9f6ba01e
9200076758591220001,B,cadence_alt,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,0,1.0,False,,,1,120.0,1,tol_0.25,9500000000000000778,-1,6,0,fb00f08f8f1f83adbeac312e97c6ccaf0591fce7026df377f298c6e8d12930f9
9200084456650220000,B,nominal,8445665,4009851428268802944,not_detected,0,602,1.0,10,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000602,-1,5,0,e13e7b348cbc38d65f40429672446435d7671875af1980babfca383c70519f97
9300084456650220000,A,nominal,8445665,4009851428268802944,not_detected,0,602,1.0,10,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,5,0,bf7018b418bf373b8e0d4407111b043d891c1055a0778e2586d831fbf763eb88
9200084456651220000,B,nominal,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000257,-1,5,0,da58a1834519bc6c213d4683b1e045db81db0ddaaedaeb51dfc8805d3fe8a320
9300084456651220000,A,nominal,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,5,0,4840f12105c4bf6df80883f438d5b6dbfa1e87382f5f984581bf701f8e83199f
9200084456652220000,B,nominal,8445665,1510467090935595008,confirmed,2,89,1.0,391,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000089,-1,5,0,a6a2d889ff48c4b75175e30b5ba9022f679b2aa53802d29c7c2c4c2cae449107
9300084456652220000,A,nominal,8445665,1510467090935595008,confirmed,2,89,1.0,391,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,5,0,3bf4dcfc13a4c779e34a75a40d4ced3a1e59b9df2022c54a2c2a6935c8e59766
9200084456651110000,B,ladder_g1r1,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.4,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,401db2031d1287e4c01c71048e6e20acf31527242e4f6b7a017ef2dc735dd474
9200084456651120000,B,ladder_g1r2,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.4,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,a4d4b0231d07296d70c85aa66219f868a647121849c4c38c16f7badd70249a58
9200084456651130000,B,ladder_g1r3,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.4,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,93a8c8ab4f736d9a467ed4ece452ea24dec3b3c25ab0fe988d9c76024cac944f
9200084456651210000,B,ladder_g2r1,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,f5c6771239c05cdd9229789bb77b9da614a0f2d31fe2720321947d1a0b7729a7
9200084456651230000,B,ladder_g2r3,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,0a8d0fefe9a751c6075df38325b11b34f1d004428d43d07b203484de054d6996
9200084456651310000,B,ladder_g3r1,8445665,2250247788602155904,not_detected,1,257,2.0,60,2.1,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,0145749af540cfd0f38ca80fb6eafdd0b746cbe44d296847ede96466d15bad93
9200084456651320000,B,ladder_g3r2,8445665,2250247788602155904,not_detected,1,257,2.0,60,2.1,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,f990ead8b20258edb2e8164c91e9191eadf2195e4ad55d61102f80111396a4e9
9200084456651330000,B,ladder_g3r3,8445665,2250247788602155904,not_detected,1,257,2.0,60,2.1,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,9b8c71278c98c7e3144cd61388f7fd081373d66ee0b8b4bc73a7bb87cec05e10
9200084456651221000,B,phase_1,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,1,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,87cb3d93f0758e735ac99aad1c07c387779ca185cd35d0b52d4fd917fd858762
9200084456651222000,B,phase_2,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,2,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,67f5a086d2087e77f73bbb22a39b4f9f0175cae7edffd658e8197013aec537be
9200084456651220100,B,ampscale_0.7,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,0,0.7,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,b845dd534d3a3d1bddc3664107589d6e8c1e39e3de88d51ffa653f12a63288b6
