source_id,wdj_name,wd_class,known_roster,in_core,n_variants,ls_complete,blind_status,best_pass,best_frequency_per_day,best_period_days,best_period_seconds,basis,best_band_fap,zg_fap,zr_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_alias,zr_alias,low_zg_a95_mmag,low_zr_a95_mmag,high_zg_a95_mmag,high_zr_a95_mmag,low_pass_available,high_pass_available,low_unavailable_reason,high_unavailable_reason,n_exp_zg,n_exp_zr,baseline_days,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution,census_variable,census_verdict,disagreement
1081519288218904960,WDJ080034.68+563332.50,unclassified,False,True,4,True,confirmed,low,8.44704665908246,0.1183845715975508,10228.426986028391,zg+zr,0.0,2.166666143584797e-79,0.0,13.3765234482846,37.75798133732626,False,False,3.302448923961791,5.69671899989655,2.251788892123855,2.7931942064239363,True,True,,,1445,1843,2763.320831772872,0.0099009900990099,0.0,100.0,0.0099009900990099,False,not_variable,ls_only
1094376947131876352,WDJ080026.64+633414.85,unclassified,False,True,4,True,confirmed,low,1.1204779241718448,0.892476307142873,77109.95293714422,zg+zr,1.694406334599226e-103,1.694406334599226e-103,1.7297898912371074e-48,25.594989314746783,17.567672162739143,False,False,5.895795528878565,6.260118523230097,3.057963559318442,3.6263637840938943,True,True,,,1511,1880,2766.230313989334,,,,,False,not_variable,ls_only
1112171030998592256,WDJ071709.79+740040.53,unclassified,False,True,4,True,confirmed,low,9.702666996415685,0.1030644461331524,8904.768145904367,zg+zr,3.6513596242669776e-154,2.3061895134977382e-20,3.6513596242669776e-154,7.611076480458266,20.999202424199275,False,False,3.2474191767424045,4.537635285928276,1.4797591977879938,1.6858493048026946,True,True,,,675,736,2761.11712479638,,,,,False,not_variable,ls_only
1116797359314558208,WDJ061851.11+772728.75,unclassified,False,True,4,True,confirmed,low,0.03384935193974,29.542663084960644,2552486.0905406,multiband+zg,0.0005900807398238,0.0005900807398238,1.0,9.42573225194512,3.4139071103118765,False,False,7.138717804111647,5.503042643205024,3.4451538176276912,2.8340995976001646,True,True,,,1164,1262,2771.1017973693088,,,,,False,not_variable,ls_only
1157401396015448960,WDJ151215.73+065156.43,unclassified,False,True,4,True,confirmed,low,4.424386415281933,0.2260200412301187,19528.131562282266,zg+zr,1.7938401813488178e-29,1.7938401813488178e-29,6.547387167210979e-26,20.84190093652148,19.39622151021444,False,False,8.048100378082284,7.625549787355669,2.7474432429270377,4.7209003153733695,True,True,,,520,814,2711.765852674842,,,,,False,not_variable,ls_only
1158050898150073472,WDJ145545.58+041508.67,unclassified,False,True,4,True,confirmed,low,0.8139716547041307,1.22854400914426,106146.20239006406,zg+zr,1.0407057031565955e-122,2.1792656125400218e-101,1.0407057031565955e-122,33.403064293092136,35.49554235645996,False,False,8.215119792481204,8.589458087401663,1.738375729831091,3.745552063807205,True,True,,,489,812,2711.765191384125,,,,,False,not_variable,ls_only
1190316479183748992,WDJ154119.84+120914.79,unclassified,False,True,4,True,confirmed,low,8.769980722868663,0.1140253361552315,9851.789043812008,zg+zr,0.0,1.5107424261956915e-87,0.0,22.479580084847083,62.256623926161474,False,False,5.881935410476622,12.517825544180544,2.4125834410509355,4.2089367733414775,True,True,,,624,988,2724.749432765413,0.0099009900990099,0.0,100.0,0.0099009900990099,False,not_variable,ls_only
1215329685816059520,WDJ151736.18+224822.80,unclassified,False,True,4,True,confirmed,high,314.18397648385786,0.0031828485054882,274.99811087418414,zg+zr,4.896088165688038e-13,4.896088165688038e-13,1.2544957783333276e-08,7.631452441657504,7.23424330491959,False,False,6.173085867968108,5.487704333540751,3.330511830509206,3.72526308251838,True,True,,,733,927,2719.813855896704,,,,,False,not_variable,ls_only
1233399644022323712,WDJ141022.11+175232.63,unclassified,False,True,4,True,confirmed,low,1.997037230563533,0.5007417912373197,43264.09076290442,multiband+zr,1.5679138293510992e-07,1.0,1.5679138293510992e-07,2.520973513040583,19.16000653625228,False,False,9.292253677936426,17.652832204842642,5.433685710363803,6.446515423666168,True,True,,,1184,1479,2657.937427887693,,,,,False,not_variable,ls_only
1261751715280478848,WDJ150939.99+215015.77,unclassified,False,True,4,True,confirmed,low,0.9973494155030246,1.002657628766583,86629.61912543276,zg+zr,5.888379476807461e-12,2.1686986696827008e-10,5.888379476807461e-12,7.755057626710176,5.998427369651843,False,False,4.481959669265622,3.2360606440067783,2.3214461367147297,2.2257874648622096,True,True,,,1186,1770,2720.811741420999,,,,,False,not_variable,ls_only
