source_id,wdj_name,wd_class,known_roster,in_core,n_variants,ls_complete,blind_status,best_pass,best_frequency_per_day,best_period_days,best_period_seconds,basis,best_band_fap,zg_fap,zr_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_alias,zr_alias,low_zg_a95_mmag,low_zr_a95_mmag,high_zg_a95_mmag,high_zr_a95_mmag,low_pass_available,high_pass_available,low_unavailable_reason,high_unavailable_reason,n_exp_zg,n_exp_zr,baseline_days,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution
1072975022015600000,WDJ110225.15+703709.88,unclassified,False,True,4,True,not_detected,low,2.0036285056577223,0.4990945163618214,43121.76621366137,,0.0014329382743701,0.0014329382743701,1.0,5.467867374359309,3.3686796068188087,False,False,3.8349813959055457,4.026193298024672,1.4654389685294202,1.3086411948971766,True,True,,,538,599,2767.229545968119,,,,
1081519288218904960,WDJ080034.68+563332.50,unclassified,False,True,4,True,confirmed,low,8.44704665908246,0.1183845715975508,10228.426986028391,zg+zr,0.0,2.166666143584797e-79,0.0,13.3765234482846,37.75798133732626,False,False,3.302448923961791,5.69671899989655,2.251788892123855,2.7931942064239363,True,True,,,1445,1843,2763.3208317728718,0.009900990099009901,0.0,100.0,0.009900990099009901
1085903148454238208,WDJ073121.39+595737.01,unclassified,False,True,4,True,confirmed,low,4.5165225317174365,0.2214092795900973,19129.76175658441,zg+zr,0.0,6.66670737643549e-222,0.0,66.48637934883705,65.46951651274311,False,False,13.909962225666176,26.968961914737918,4.349938652610972,3.6924707650894417,True,True,,,659,946,2744.301597735379,0.009900990099009901,0.0,100.0,0.009900990099009901
1090886925425489664,WDJ082954.01+640407.13,unclassified,False,True,4,True,not_detected,high,993.0806323856592,0.0010069675788538,87.00199881296936,,0.1286954349260939,0.1286954349260939,1.0,14.345013898201072,10.570070926403265,False,False,39.0876939725191,36.407503274702506,11.400149532358537,16.13542554063804,True,True,,,47,56,2050.788895767648,,,,
1094376947131876352,WDJ080026.64+633414.85,unclassified,False,True,4,True,confirmed,low,1.1204779241718448,0.892476307142873,77109.95293714422,zg+zr,1.694406334599226e-103,1.694406334599226e-103,1.7297898912371074e-48,25.594989314746783,17.567672162739143,False,False,5.895795528878565,6.260118523230097,3.057963559318442,3.6263637840938943,True,True,,,1511,1880,2766.230313989334,,,,
1107590946593313920,WDJ061535.10+711233.87,unclassified,False,True,4,True,not_detected,low,2.01103155983946,0.4972572385088922,42963.02540716829,,0.1754998727620667,0.1754998727620667,1.0,33.168336218777576,18.019666821814724,True,False,30.511032187063552,26.56952343876737,14.097853778791595,13.252384449592116,True,True,,,48,71,1948.950020611752,,,,
1110291480292939136,WDJ074629.95+703005.78,unclassified,False,True,4,True,candidate,low,11.096681379469246,0.090117032813988,7786.111635128566,zg,0.0005098506165417,0.0005098506165417,1.0,44.19736015823808,17.008483594706142,False,False,42.001310045856776,39.10320722079376,8.160819850584867,7.12551736706947,True,True,,,654,702,2761.203908827156,,,,
1112171030998592256,WDJ071709.79+740040.53,unclassified,False,True,4,True,confirmed,low,9.702666996415685,0.1030644461331524,8904.768145904367,zg+zr,3.6513596242669776e-154,2.3061895134977382e-20,3.6513596242669776e-154,7.611076480458266,20.999202424199275,False,False,3.2474191767424045,4.537635285928276,1.4797591977879938,1.6858493048026946,True,True,,,675,736,2761.11712479638,,,,
1116797359314558208,WDJ061851.11+772728.75,unclassified,False,True,4,True,confirmed,low,0.03384935193974,29.542663084960644,2552486.0905406,multiband+zg,0.0005900807398238,0.0005900807398238,1.0,9.42573225194512,3.4139071103118765,False,False,7.138717804111647,5.503042643205024,3.4451538176276912,2.8340995976001646,True,True,,,1164,1262,2771.1017973693088,,,,
114808397128552576,WDJ024849.59+264332.15,unclassified,True,True,4,True,not_detected,low,5.086296192674449,0.1966067177606079,16986.820414516525,,0.0946903611769117,1.0,0.0946903611769117,0.5147642198592938,4.91388669700912,False,False,3.797801253755324,3.8502146939584367,2.517262214703814,2.943806170314998,True,True,,,870,1587,2762.206420505885,,,,
