,R-hat,ESS Bulk,ESS Tail,MCSE Mean,Status
ztfgc_init_artist_effect[145],1.0000,25726,9108,0.0000,Pass
ztfgc_init_artist_effect[146],1.0000,27684,8325,0.0000,Pass
ztfgc_init_artist_effect[147],1.0000,27006,8900,0.0000,Pass
ztfgc_init_artist_effect[148],1.0000,23019,8899,0.0000,Pass
ztfgc_init_artist_effect[149],1.0000,25179,8856,0.0000,Pass
ztfgc_init_artist_effect[150],1.0000,25220,9110,0.0000,Pass
ztfgc_init_artist_effect[151],1.0000,24685,8893,0.0000,Pass
ztfgc_init_artist_effect[152],1.0000,28596,8750,0.0000,Pass
ztfgc_init_artist_effect[153],1.0000,24184,8679,0.0000,Pass
ztfgc_init_artist_effect[154],1.0000,27435,9585,0.0000,Pass
ztfgc_init_artist_effect[155],1.0000,24386,9763,0.0000,Pass
ztfgc_init_artist_effect[156],1.0000,28618,9102,0.0000,Pass
ztfgc_init_artist_effect[157],1.0000,26254,9692,0.0000,Pass
ztfgc_init_artist_effect[158],1.0000,26368,8401,0.0000,Pass
ztfgc_init_artist_effect[159],1.0000,27959,8029,0.0000,Pass
ztfgc_init_artist_effect[160],1.0000,26361,8025,0.0000,Pass
ztfgc_init_artist_effect[161],1.0000,25277,9457,0.0000,Pass
ztfgc_init_artist_effect[162],1.0000,21406,8892,0.0000,Pass
ztfgc_init_artist_effect[163],1.0000,23195,8593,0.0000,Pass
ztfgc_init_artist_effect[164],1.0000,26137,9029,0.0000,Pass
ztfgc_init_artist_effect[165],1.0000,24768,9129,0.0000,Pass
ztfgc_init_artist_effect[166],1.0000,20205,9549,0.0000,Pass
ztfgc_init_artist_effect[167],1.0000,26118,8621,0.0000,Pass
ztfgc_init_artist_effect[168],1.0000,23333,9055,0.0000,Pass
ztfgc_init_artist_effect[169],1.0000,23368,8947,0.0000,Pass
ztfgc_init_artist_effect[170],1.0000,24120,9351,0.0000,Pass
ztfgc_init_artist_effect[171],1.0000,25255,8669,0.0000,Pass
ztfgc_init_artist_effect[172],1.0000,21529,8886,0.0000,Pass
ztfgc_init_artist_effect[173],1.0000,28842,8093,0.0000,Pass
ztfgc_init_artist_effect[174],1.0000,26865,9530,0.0000,Pass
ztfgc_init_artist_effect[175],1.0000,24180,8459,0.0000,Pass
ztfgc_init_artist_effect[176],1.0000,26901,8623,0.0000,Pass
ztfgc_init_artist_effect[177],1.0000,26577,8947,0.0000,Pass
ztfgc_init_artist_effect[178],1.0000,22805,9312,0.0000,Pass
ztfgc_init_artist_effect[179],1.0000,27623,8959,0.0000,Pass
ztfgc_init_artist_effect[180],1.0000,25259,9587,0.0000,Pass
ztfgc_init_artist_effect[181],1.0000,24997,9990,0.0000,Pass
ztfgc_init_artist_effect[182],1.0000,25449,8609,0.0000,Pass
ztfgc_init_artist_effect[183],1.0000,27380,8347,0.0000,Pass
ztfgc_init_artist_effect[184],1.0000,22857,9283,0.0000,Pass
ztfgc_init_artist_effect[185],1.0000,20596,9575,0.0000,Pass
ztfgc_init_artist_effect[186],1.0000,25453,9464,0.0000,Pass
ztfgc_init_artist_effect[187],1.0000,24366,9551,0.0000,Pass
ztfgc_init_artist_effect[188],1.0000,28492,9190,0.0000,Pass
ztfgc_init_artist_effect[189],1.0000,24172,9884,0.0000,Pass
ztfgc_init_artist_effect[190],1.0000,24246,9048,0.0000,Pass
ztfgc_init_artist_effect[191],1.0000,25380,8580,0.0000,Pass
ztfgc_init_artist_effect[192],1.0000,28162,9336,0.0000,Pass
ztfgc_init_artist_effect[193],1.0000,27409,8939,0.0000,Pass
ztfgc_init_artist_effect[194],1.0000,26540,9208,0.0000,Pass
ztfgc_init_artist_effect[195],1.0000,27311,8533,0.0000,Pass
ztfgc_init_artist_effect[196],1.0000,28028,7790,0.0000,Pass
ztfgc_init_artist_effect[197],1.0000,28818,8234,0.0000,Pass
ztfgc_init_artist_effect[198],1.0000,23750,9304,0.0000,Pass
ztfgc_init_artist_effect[199],1.0000,24562,8578,0.0000,Pass
ztfgc_init_artist_effect[200],1.0000,24062,9413,0.0000,Pass
ztfgc_init_artist_effect[201],1.0000,27042,8785,0.0000,Pass
ztfgc_init_artist_effect[202],1.0000,26118,9262,0.0000,Pass
ztfgc_init_artist_effect[203],1.0000,24374,8428,0.0000,Pass
ztfgc_init_artist_effect[204],1.0000,24307,9403,0.0000,Pass
ztfgc_init_artist_effect[205],1.0000,26016,8601,0.0000,Pass
ztfgc_init_artist_effect[206],1.0000,26382,8906,0.0000,Pass
ztfgc_init_artist_effect[207],1.0000,22655,8371,0.0000,Pass
ztfgc_init_artist_effect[208],1.0000,24591,9523,0.0000,Pass
ztfgc_init_artist_effect[209],1.0000,25203,8995,0.0000,Pass
ztfgc_init_artist_effect[210],1.0000,22385,9389,0.0000,Pass
ztfgc_init_artist_effect[211],1.0000,24596,9123,0.0000,Pass
ztfgc_init_artist_effect[212],1.0000,28442,8940,0.0000,Pass
ztfgc_init_artist_effect[213],1.0000,27268,8587,0.0000,Pass
ztfgc_init_artist_effect[214],1.0000,26902,9010,0.0000,Pass
ztfgc_init_artist_effect[215],1.0000,23565,9192,0.0000,Pass
ztfgc_init_artist_effect[216],1.0000,27862,7938,0.0000,Pass
ztfgc_init_artist_effect[217],1.0000,29585,8338,0.0000,Pass
ztfgc_init_artist_effect[218],1.0000,22574,8989,0.0000,Pass
ztfgc_init_artist_effect[219],1.0000,26511,8410,0.0000,Pass
ztfgc_init_artist_effect[220],1.0000,27230,8668,0.0000,Pass
ztfgc_init_artist_effect[221],1.0000,28051,9239,0.0000,Pass
ztfgc_init_artist_effect[222],1.0000,25254,9209,0.0000,Pass
ztfgc_init_artist_effect[223],1.0000,24562,9270,0.0000,Pass
ztfgc_init_artist_effect[224],1.0000,23619,9236,0.0000,Pass
ztfgc_init_artist_effect[225],1.0000,27911,8981,0.0000,Pass
