dataset,selection,bin_index,freq_lo_per_day,freq_hi_per_day,n_confirmed_total,n_bin,share_of_confirmed,density_per_day,analysis_status,prespecified,interval
D3,"dsct_flag0 and best_status==""confirmed""",17,3.5,3.75,963,1,0.0010384215991692627,0.004153686396677051,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",18,3.75,4.0,963,6,0.006230529595015576,0.024922118380062305,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",19,4.0,6.0,963,22,0.02284527518172378,0.01142263759086189,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",20,6.0,8.0,963,3,0.003115264797507788,0.001557632398753894,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",21,8.0,12.0,963,7,0.007268951194184839,0.0018172377985462098,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",22,12.0,16.0,963,1,0.0010384215991692627,0.00025960539979231567,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",23,16.0,20.0,963,1,0.0010384215991692627,0.00025960539979231567,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",24,20.0,24.0,963,0,0.0,0.0,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",25,24.0,32.0,963,1,0.0010384215991692627,0.00012980269989615784,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",26,32.0,48.0,963,3,0.003115264797507788,0.00019470404984423675,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",27,48.0,96.0,963,1,0.0010384215991692627,2.1633783316026305e-05,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",28,96.0,192.0,963,1,0.0010384215991692627,1.0816891658013152e-05,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",29,192.0,384.0,963,0,0.0,0.0,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",30,384.0,768.0,963,8,0.008307372793354102,2.1633783316026305e-05,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",31,768.0,1440.0,963,34,0.035306334371754934,5.253918805320675e-05,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",32,1440.0,inf,963,0,0.0,,postlaunch_descriptive,False,none
