b_sid,control_sid,cluster,template_k,b_status,control_status,b_usable,control_usable,pair_usable,D_B,D_C,R_B,R_C
9202018609261220000,9500000000000000474,201860926,1,confirmed,confirmed,True,True,True,True,True,False,False
9202018609262220000,9500000000000000601,201860926,2,confirmed,not_detected,True,True,True,True,False,True,False
9202072067510220000,9500000000000000329,207206751,0,not_detected,not_detected,True,True,True,False,False,False,False
9202072067511220000,9500000000000000723,207206751,1,not_detected,not_detected,True,True,True,False,False,False,False
9202072067512220000,9500000000000000049,207206751,2,confirmed,confirmed,True,True,True,True,True,False,False
9202205551220220000,9500000000000000544,220555122,0,not_detected,not_detected,True,True,True,False,False,False,False
9202205551221220000,9500000000000000447,220555122,1,confirmed,confirmed,True,True,True,True,True,False,False
9202205551222220000,9500000000000000259,220555122,2,not_detected,candidate,True,True,True,False,False,False,False
9202295813360220000,9500000000000000833,229581336,0,not_detected,not_detected,True,True,True,False,False,False,False
9202295813361220000,9500000000000000370,229581336,1,not_detected,not_detected,True,True,True,False,False,False,False
9202295813362220000,9500000000000000042,229581336,2,candidate,candidate,True,True,True,False,False,False,False
9202300291400220000,9500000000000000610,230029140,0,not_detected,not_detected,True,True,True,False,False,False,False
9202300291401220000,9500000000000000322,230029140,1,confirmed,confirmed,True,True,True,True,True,False,False
9202300291402220000,9500000000000000695,230029140,2,confirmed,confirmed,True,True,True,True,True,True,False
9202303843890220000,9500000000000000540,230384389,0,not_detected,not_detected,True,True,True,False,False,False,False
9202303843891220000,9500000000000000203,230384389,1,confirmed,confirmed,True,True,True,True,True,False,False
9202303843892220000,9500000000000000915,230384389,2,confirmed,confirmed,True,True,True,True,True,False,False
9202312777910220000,9500000000000000610,231277791,0,not_detected,not_detected,True,True,True,False,False,False,False
9202312777911220000,9500000000000000322,231277791,1,confirmed,confirmed,True,True,True,True,True,False,False
9202312777912220000,9500000000000000758,231277791,2,confirmed,confirmed,True,True,True,True,True,False,False
9202329791740220000,9500000000000000833,232979174,0,not_detected,not_detected,True,True,True,False,False,False,False
9202329791741220000,9500000000000000451,232979174,1,not_detected,not_detected,True,True,True,False,False,False,False
9202329791742220000,9500000000000000256,232979174,2,confirmed,confirmed,True,True,True,True,True,False,False
9202388156710220000,9500000000000000544,238815671,0,not_detected,not_detected,True,True,True,False,False,False,False
9202388156711220000,9500000000000000339,238815671,1,candidate,candidate,True,True,True,False,False,False,False
9202388156712220000,9500000000000000042,238815671,2,confirmed,candidate,True,True,True,True,False,True,False
9202641725240220000,9500000000000000542,264172524,0,not_detected,not_detected,True,True,True,False,False,False,False
9202641725241220000,9500000000000000332,264172524,1,not_detected,not_detected,True,True,True,False,False,False,False
9202641725242220000,9500000000000000089,264172524,2,confirmed,confirmed,True,True,True,True,True,False,False
9202732066730220000,9500000000000000544,273206673,0,not_detected,not_detected,True,True,True,False,False,False,False
9202732066731220000,9500000000000000658,273206673,1,candidate,confirmed,True,True,True,False,True,False,False
9202732066732220000,9500000000000000331,273206673,2,confirmed,confirmed,True,True,True,True,True,True,False
9202827837600220000,9500000000000000793,282783760,0,confirmed,confirmed,True,True,True,True,True,False,False
9202827837601220000,9500000000000000467,282783760,1,not_detected,not_detected,True,True,True,False,False,False,False
9202827837602220000,9500000000000000229,282783760,2,confirmed,confirmed,True,True,True,True,True,True,False
9202879268300220000,9500000000000000806,287926830,0,not_detected,not_detected,True,True,True,False,False,False,False
9202879268301220000,9500000000000000447,287926830,1,confirmed,confirmed,True,True,True,True,True,False,False
9202879268302220000,9500000000000000259,287926830,2,confirmed,candidate,True,True,True,True,False,True,False
9203040240580220000,9500000000000000833,304024058,0,not_detected,not_detected,True,True,True,False,False,False,False
9203040240581220000,9500000000000000339,304024058,1,candidate,candidate,True,True,True,False,False,False,False
9203040240582220000,9500000000000000042,304024058,2,confirmed,candidate,True,True,True,True,False,False,False
9203131099450220000,9500000000000000496,313109945,0,confirmed,not_detected,True,True,True,True,False,True,False
9203131099451220000,9500000000000000306,313109945,1,confirmed,not_detected,True,True,True,True,False,True,False
9203131099452220000,9500000000000000387,313109945,2,confirmed,confirmed,True,True,True,True,True,True,False
9203171531720220000,9500000000000000610,317153172,0,not_detected,not_detected,True,True,True,False,False,False,False
9203171531721220000,9500000000000000322,317153172,1,confirmed,confirmed,True,True,True,True,True,False,False
9203171531722220000,9500000000000000695,317153172,2,confirmed,confirmed,True,True,True,True,True,True,False
9203432963480220000,9500000000000000833,343296348,0,not_detected,not_detected,True,True,True,False,False,False,False
9203432963481220000,9500000000000000658,343296348,1,confirmed,confirmed,True,True,True,True,True,True,False
9203432963482220000,9500000000000000331,343296348,2,confirmed,confirmed,True,True,True,True,True,True,False
9203441306960220000,9500000000000000823,344130696,0,not_detected,not_detected,True,True,True,False,False,False,False
9203441306961220000,9500000000000000167,344130696,1,confirmed,confirmed,True,True,True,True,True,False,False
9203441306962220000,9500000000000000349,344130696,2,confirmed,confirmed,True,True,True,True,True,False,False
9203537273060220000,9500000000000000626,353727306,0,confirmed,not_detected,True,True,True,True,False,True,False
9203537273061220000,9500000000000000306,353727306,1,confirmed,not_detected,True,True,True,True,False,True,False
9203537273062220000,9500000000000000387,353727306,2,confirmed,confirmed,True,True,True,True,True,False,False
9203702395210220000,9500000000000000491,370239521,0,confirmed,confirmed,True,True,True,True,True,False,False
9203702395211220000,9500000000000000873,370239521,1,confirmed,confirmed,True,True,True,True,True,False,False
9203702395212220000,9500000000000000049,370239521,2,confirmed,confirmed,True,True,True,True,True,False,False
9203751997990220000,9500000000000000542,375199799,0,not_detected,not_detected,True,True,True,False,False,False,False
9203751997991220000,9500000000000000451,375199799,1,not_detected,not_detected,True,True,True,False,False,False,False
9203751997992220000,9500000000000000089,375199799,2,confirmed,confirmed,True,True,True,True,True,True,False
9203802985200220000,9500000000000000496,380298520,0,confirmed,not_detected,True,True,True,True,False,True,False
9203802985201220000,9500000000000000874,380298520,1,confirmed,confirmed,True,True,True,True,True,False,False
9203802985202220000,9500000000000000042,380298520,2,confirmed,candidate,True,True,True,True,False,True,False
9203940154960220000,9500000000000000840,394015496,0,not_detected,not_detected,True,True,True,False,False,False,False
9203940154961220000,9500000000000000662,394015496,1,confirmed,confirmed,True,True,True,True,True,False,False
9203940154962220000,9500000000000000331,394015496,2,confirmed,confirmed,True,True,True,True,True,False,False
9204097327140220000,9500000000000000585,409732714,0,not_detected,not_detected,True,True,True,False,False,False,False
9204097327141220000,9500000000000000873,409732714,1,confirmed,confirmed,True,True,True,True,True,False,False
9204097327142220000,9500000000000000234,409732714,2,not_detected,not_detected,True,True,True,False,False,False,False
9204153372240220000,9500000000000000786,415337224,0,not_detected,confirmed,True,True,True,False,True,False,False
9204153372241220000,9500000000000000458,415337224,1,not_detected,not_detected,True,True,True,False,False,False,False
9204153372242220000,9500000000000000098,415337224,2,confirmed,candidate,True,True,True,True,False,True,False
9204236580360220000,9500000000000000833,423658036,0,not_detected,not_detected,True,True,True,False,False,False,False
9204236580361220000,9500000000000000370,423658036,1,not_detected,not_detected,True,True,True,False,False,False,False
9204236580362220000,9500000000000000042,423658036,2,confirmed,candidate,True,True,True,True,False,True,False
9204286708870220000,9500000000000000833,428670887,0,not_detected,not_detected,True,True,True,False,False,False,False
9204286708871220000,9500000000000000370,428670887,1,confirmed,not_detected,True,True,True,True,False,False,False
9204286708872220000,9500000000000000042,428670887,2,confirmed,candidate,True,True,True,True,False,True,False
9204415007920220000,9500000000000000602,441500792,0,not_detected,not_detected,True,True,True,False,False,False,False
9204415007921220000,9500000000000000322,441500792,1,confirmed,confirmed,True,True,True,True,True,False,False
9204415007922220000,9500000000000000601,441500792,2,confirmed,not_detected,True,True,True,True,False,False,False
9204429622890220000,9500000000000000610,442962289,0,not_detected,not_detected,True,True,True,False,False,False,False
9204429622891220000,9500000000000000458,442962289,1,not_detected,not_detected,True,True,True,False,False,False,False
9204429622892220000,9500000000000000758,442962289,2,confirmed,confirmed,True,True,True,True,True,True,False
