oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,source_id,band,night_mjd,wdj_name,wd_class,paper_variable,paper_periodic,bjd_tdb
1600111100002909,61043275,2458364.9361356087,58364.432754599999,16.8964043,0.0149850696,0,zg,30.363329400000001,23.831398499999999,0.449000001,0.00700000022,20180903432743,1600,0xb,0x1,20.8799992,26.2761555,0.0330982767,-0.0298068225,2.23870302e-05,30,1.02900004,2,103999471976858496,zg,58364,,periodic/transit,True,True,2458364.9367874656
604103100006917,61140355,2458365.9070108314,58365.403553199998,16.7942982,0.0170955583,0,zg,30.363306999999999,23.831341500000001,0.908999979,-0.0370000005,20180904403542,604,0x3,0x1,21.6700001,26.3265991,0.0269463584,-0.0701915845,1.29745767e-05,30,1.05299997,3,103999471976858496,zg,58365,,periodic/transit,True,True,2458365.9076626617
1600111100002909,61145577,2458365.9592372375,58365.455775499999,16.7804356,0.0143555999,0,zg,30.363318100000001,23.831360199999999,0.758000016,0.0280000009,20180904455741,1600,0xb,0x1,21.5799999,26.3345222,0.0261606462,-0.0454307348,1.18817989e-05,30,1.01800001,2,103999471976858496,zg,58365,,periodic/transit,True,True,2458365.9598890678
604103100006917,61242598,2458366.9295211807,58366.4259838,16.777359,0.0170179624,0,zg,30.363326000000001,23.831339,0.828000009,-0.0340000018,20180905425938,604,0x3,0x1,21.8199997,26.335556,0.025156511,-0.0679349452,1.1273205e-05,30,1.01999998,1,103999471976858496,zg,58366,,periodic/transit,True,True,2458366.9301729877
604103100006917,61242690,2458366.9304471519,58366.4269097,16.7717285,0.0169924721,0,zg,30.363329100000001,23.831348800000001,0.754999995,-0.0579999983,20180905426898,604,0x3,0x1,21.8799992,26.3298931,0.0252407268,-0.067939572,1.14216564e-05,30,1.01900005,3,103999471976858496,zg,58366,,periodic/transit,True,True,2458366.9310989594
1600111100002909,61245180,2458366.9553449838,58366.451805600002,16.7308922,0.014107584,0,zg,30.363324899999999,23.8313585,0.690999985,0.0240000002,20180905451794,1600,0xb,0x1,21.7199993,26.3377094,0.0247787014,-0.046887558,1.05795316e-05,30,1.01800001,2,103999471976858496,zg,58366,,periodic/transit,True,True,2458366.9559967909
604103100006917,61340710,2458367.9107194482,58367.407106500003,16.669796,0.0165559165,0,zg,30.363318100000001,23.831343700000001,1.40499997,-0.0700000003,20180906407083,604,0x3,0x1,21.9599991,26.3424644,0.0247731209,-0.103711858,1.11235922e-05,30,1.03900003,3,103999471976858496,zg,58367,,periodic/transit,True,True,2458367.9113712311
1600111100002909,61345197,2458367.9555955864,58367.451979199999,16.7538528,0.0142210368,0,zg,30.363328500000001,23.831381,0.635999978,0.0299999993,20180906451968,1600,0xb,0x1,21.6200008,26.3187561,0.0293045659,-0.0327018276,1.47588207e-05,30,1.01800001,2,103999471976858496,zg,58367,,periodic/transit,True,True,2458367.9562473707
604103100006917,61440988,2458368.9135735012,58368.409884300003,16.855484,0.0173874069,0,zg,30.363320999999999,23.831356,0.578999996,-0.0280000009,20180907409884,604,0x3,0x1,21.8999996,26.3460693,0.0271123182,-0.0884854347,1.31148154e-05,30,1.03100002,3,103999471976858496,zg,58368,,periodic/transit,True,True,2458368.9142252612
604103100006917,61545145,2458369.9552256255,58369.451458299998,16.7817612,0.0170379989,0,zg,30.3633326,23.831338299999999,2.47199988,-0.0729999989,20180908451412,604,0x3,0x1,22.0200005,26.3439407,0.0260820445,-0.0950041488,1.21902094e-05,30,1.00800002,3,103999471976858496,zg,58369,,periodic/transit,True,True,2458369.9558773600
604103100006917,61545243,2458369.956197998,58369.452430600002,16.7874985,0.0170642491,0,zg,30.363325799999998,23.831340999999998,1.88199997,-0.123999998,20180908452396,604,0x3,0x1,22.1200008,26.3347054,0.0249892212,-0.0887980014,1.11993286e-05,30,1.00800002,1,103999471976858496,zg,58369,,periodic/transit,True,True,2458369.9568497324
604103100006917,61638731,2458370.8911513416,58370.387314799998,16.8089104,0.0171635896,0,zg,30.3633062,23.831344699999999,1.25399995,-0.0879999995,20180909387303,604,0x3,0x1,21.7900009,26.3523388,0.0271527264,-0.0944871828,1.32771775e-05,30,1.05700004,3,103999471976858496,zg,58370,,periodic/transit,True,True,2458370.8918030518
604103100006917,61738429,2458371.8882032586,58371.384294000003,16.7361107,0.0168346185,0,zg,30.363313699999999,23.831369200000001,2.21099997,-0.0450000018,20180910384282,604,0x3,0x1,21.75,26.3891354,0.0277001578,-0.13180165,1.38784744e-05,30,1.05799997,3,103999471976858496,zg,58371,,periodic/transit,True,True,2458371.8888549465
604103100006917,61841171,2458372.9156960724,58372.411713000001,16.7716026,0.0169919003,0,zg,30.3633326,23.831347300000001,1.01999998,-0.0579999983,20180911411319,604,0x3,0x1,21.8099995,26.3488941,0.0241264477,-0.0747943968,1.04672599e-05,30,1.01900005,1,103999471976858496,zg,58372,,periodic/transit,True,True,2458372.9163477356
604103100006917,61841277,2458372.916760949,58372.412777799997,16.7613106,0.0169456974,0,zg,30.363321899999999,23.831348500000001,1.57200003,-0.074000001,20180911412697,604,0x3,0x1,21.8999996,26.350544,0.0253588874,-0.0803642422,1.16428255e-05,30,1.01800001,3,103999471976858496,zg,58372,,periodic/transit,True,True,2458372.9174126117
1600111100002909,61843214,2458372.9361257311,58372.432141199999,16.8119583,0.0145197529,0,zg,30.363314899999999,23.831356400000001,0.713,-0.0179999992,20180911432130,1600,0xb,0x1,21.9599991,26.349268,0.0238489769,-0.0589456894,9.7855509e-06,30,1.01800001,2,103999471976858496,zg,58372,,periodic/transit,True,True,2458372.9367773929
604103100006917,61940660,2458373.9106622208,58373.406608800004,16.8984222,0.0176034439,0,zg,30.363327699999999,23.831354399999999,0.990999997,-0.0520000011,20180912406562,604,0x3,0x1,21.8500004,26.3402214,0.0248420052,-0.0771100223,1.10454293e-05,30,1.02100003,3,103999471976858496,zg,58373,,periodic/transit,True,True,2458373.9113138597
604103100006917,62042815,2458374.9322841871,58374.428159700001,16.7516441,0.0169027448,0,zg,30.363335899999999,23.831364799999999,1.21200001,-0.0270000007,20180913428125,604,0x3,0x1,21.8299999,26.3748684,0.0254632402,-0.105218299,1.17553982e-05,30,1.00800002,3,103999471976858496,zg,58374,,periodic/transit,True,True,2458374.9329358018
1600111100002909,62043331,2458374.937435043,58374.433310200002,16.78339,0.0143707702,0,zg,30.363336199999999,23.8313521,0.824999988,0.00999999978,20180913433299,1600,0xb,0x1,21.9200001,26.3545666,0.0246770754,-0.0613743439,1.05002173e-05,30,1.01800001,2,103999471976858496,zg,58374,,periodic/transit,True,True,2458374.9380866573
604103100006917,62143225,2458375.9364500619,58375.4322569,16.7370415,0.0168386716,0,zg,30.363326199999999,23.831349899999999,1.38999999,-0.0879999995,20180914432222,604,0x3,0x1,21.9699993,26.3720055,0.0268335696,-0.103418969,1.29845685e-05,30,1.00800002,3,103999471976858496,zg,58375,,periodic/transit,True,True,2458375.9371016510
604103100006917,62143315,2458375.9373529227,58375.433159699998,16.7534103,0.0169105548,0,zg,30.363326399999998,23.831348200000001,1.95700002,-0.0949999988,20180914433160,604,0x3,0x1,21.8999996,26.3734531,0.0261461046,-0.104236528,1.23048367e-05,30,1.00800002,1,103999471976858496,zg,58375,,periodic/transit,True,True,2458375.9380045123
604103100006917,62247837,2458376.9826430371,58376.478379599997,16.842701,0.0173249058,0,zg,30.3633247,23.8313478,1.34099996,-0.0109999999,20180915478356,604,0x3,0x1,22,26.3311195,0.0235068817,-0.0704005063,1.00102816e-05,30,1.04900002,3,103999471976858496,zg,58376,,periodic/transit,True,True,2458376.9832946006
604103100006917,62338973,2458377.8940574066,58377.389733800002,16.8196678,0.0172143374,0,zg,30.3633229,23.831351699999999,1.40699995,-0.0719999969,20180916389734,604,0x3,0x1,21.7900009,26.361084,0.0284432229,-0.127101079,1.45792947e-05,30,1.02600002,3,103999471976858496,zg,58377,,periodic/transit,True,True,2458377.8947089482
604103100006917,62445380,2458378.9582004724,58378.453807899998,16.7684631,0.0169777572,0,zg,30.363343,23.831360499999999,1.26300001,-0.0480000004,20180917453773,604,0x3,0x1,21.6900005,26.3765774,0.0274419151,-0.117072217,1.36169683e-05,30,1.02400005,1,103999471976858496,zg,58378,,periodic/transit,True,True,2458378.9588519889
604103100006917,62447399,2458378.9783869619,58378.4739931,16.7884445,0.0170685854,0,zg,30.363330000000001,23.831346799999999,0.930999994,-0.0850000009,20180917473634,604,0x3,0x1,21.8299999,26.3425999,0.0268065874,-0.0796735808,1.28843976e-05,30,1.04999995,3,103999471976858496,zg,58378,,periodic/transit,True,True,2458378.9790384769
1600111100002909,62447628,2458378.9806787078,58378.476284700002,16.7750931,0.0143282739,0,zg,30.363337300000001,23.831347999999998,1.16700006,-0.0790000036,20180917476285,1600,0xb,0x1,21.8500004,26.372036,0.0258184355,-0.0883755982,1.12537809e-05,30,1.06900001,2,103999471976858496,zg,58378,,periodic/transit,True,True,2458378.9813302229
604103100006917,62544493,2458379.9493861566,58379.444930600002,16.757803,0.0169300586,0,zg,30.3633305,23.831363199999998,1.04799998,-0.0410000011,20180918444919,604,0x3,0x1,21.6900005,26.3748474,0.027758332,-0.106295072,1.39222748e-05,30,1.01800001,3,103999471976858496,zg,58379,,periodic/transit,True,True,2458379.9500376484
604103100006917,62844499,2458382.9496386312,58382.445,16.8475971,0.0173487496,0,zg,30.363340600000001,23.831326000000001,1.96500003,-0.165000007,20180921444965,604,0x3,0x1,22.0900002,26.3738689,0.0252216104,-0.122267544,1.16542597e-05,30,1.02600002,3,103999471976858496,zg,58382,,periodic/transit,True,True,2458382.9502900480
604103100006917,62947857,2458383.9832753949,58383.478576399997,16.7983131,0.0171141513,0,zg,30.363332700000001,23.831327000000002,1.14499998,-0.100000001,20180922478565,604,0x3,0x1,21.8999996,26.3119049,0.0272277333,-0.0952126756,1.3574595e-05,30,1.08700001,3,103999471976858496,zg,58383,,periodic/transit,True,True,2458383.9839267856
1600111100002909,63032158,2458384.8263327898,58384.321585600002,16.7915039,0.0144126667,0,zg,30.363343199999999,23.831337600000001,0.40200001,0.0460000001,20180923321574,1600,0xb,0x1,20.6700001,26.2759666,0.0335939638,-0.0478549972,2.72181769e-05,30,1.13600004,2,103999471976858496,zg,58384,,periodic/transit,True,True,2458384.8269841610
604103100006917,63049873,2458385.0034955908,58384.498738399998,16.6662579,0.0165415872,0,zg,30.3633457,23.8313299,2.01399994,-0.0820000023,20180923498715,604,0x3,0x1,21.1299992,26.3140888,0.0327394754,-0.109145708,2.12155483e-05,30,1.15400004,3,103999471976858496,zg,58384,,periodic/transit,True,True,2458385.0041469573
1600111100002909,63140464,2458385.9094489482,58385.404641200003,16.6483574,0.013720219,0,zg,30.363335299999999,23.831333600000001,0.838,-0.0439999998,20180924404630,1600,0xb,0x1,20.6000004,26.3461876,0.0407518968,-0.052277457,4.15166032e-05,30,1.01800001,2,103999471976858496,zg,58385,,periodic/transit,True,True,2458385.9101002915
604103100006917,63144311,2458385.9479232626,58385.443113399997,16.7373753,0.0168401245,0,zg,30.363335299999999,23.831327999999999,1.38499999,-0.0670000017,20180924443102,604,0x3,0x1,20.4200001,26.339468,0.0390620939,-0.0906762406,4.09284403e-05,30,1.03299999,3,103999471976858496,zg,58385,,periodic/transit,True,True,2458385.9485746054
604103100006917,63145233,2458385.9571483675,58385.452338000003,16.7582893,0.0169322211,0,zg,30.363338800000001,23.8313305,0.773000002,-0.00899999961,20180924452326,604,0x3,0x1,20.5100002,26.3254642,0.0342331752,-0.0646214485,2.96207672e-05,30,1.046,1,103999471976858496,zg,58385,,periodic/transit,True,True,2458385.9577997103
604103100006917,63246673,2458386.971601652,58386.466736100003,16.8276386,0.0172523092,0,zg,30.363342899999999,23.831336400000001,0.312000006,-0.0109999999,20180925466725,604,0x3,0x1,19.7900009,26.3461628,0.0376018584,-0.0887490138,5.78745421e-05,30,1.079,3,103999471976858496,zg,58386,,periodic/transit,True,True,2458386.9722529696
1600111100002909,63635908,2458390.8641497269,58390.359085600001,16.7150307,0.0140306838,0,zg,30.363317500000001,23.831355599999998,0.479000002,0.0340000018,20180929359086,1600,0xb,0x1,20.5799999,26.3260994,0.0305405129,-0.0244085919,2.27266682e-05,30,1.03100002,2,103999471976858496,zg,58390,,periodic/transit,True,True,2458390.8648009468
604103100006917,63637711,2458390.8821831001,58390.377118099997,16.7074852,0.0167119391,0,zg,30.363320699999999,23.831333300000001,0.814999998,-0.0199999996,20180929376771,604,0x3,0x1,20.7900009,26.3569145,0.0326931179,-0.0792198628,2.41134858e-05,30,1.00999999,1,103999471976858496,zg,58390,,periodic/transit,True,True,2458390.8828343190
604103100006917,64337350,2458397.8788734823,58397.373506900003,16.7981834,0.0171135478,0,zg,30.3633256,23.831328599999999,1.57299995,-0.0960000008,20181006373484,604,0x3,0x1,21.9400005,26.3469582,0.0270955041,-0.128080219,1.31858087e-05,30,1.00800002,1,103999471976858496,zg,58397,,periodic/transit,True,True,2458397.8795245257
604103100006917,67135920,2458425.8649897515,58425.359201400002,16.7483826,0.0168883502,0,zg,30.363331899999999,23.8313235,1.55900002,-0.0820000023,20181103359167,604,0x3,0x1,21.8600006,26.347023,0.0276135039,-0.108328745,1.38453142e-05,30,1.08000004,1,103999471976858496,zg,58425,,periodic/transit,True,True,2458425.8656400731
1600111100002909,67233980,2458426.8455825024,58426.339803199997,16.6627502,0.0137855243,0,zg,30.363345299999999,23.831331599999999,0.697000027,0.0140000004,20181104339792,1600,0xb,0x1,21.7999992,26.2354012,0.027153872,-0.0895990431,1.27284957e-05,30,1.06299996,2,103999471976858496,zg,58426,,periodic/transit,True,True,2458426.8462327980
1600111100002909,67332905,2458427.8348194044,58427.3290509,16.8748074,0.0148624275,0,zg,30.363326099999998,23.831335899999999,1.11399996,-0.00999999978,20181105329051,1600,0xb,0x1,20.5,26.1745529,0.0397197232,-0.066194199,4.10495122e-05,30,1.051,2,103999471976858496,zg,58427,,periodic/transit,True,True,2458427.8354696743
604103100006917,67421931,2458428.7250744482,58428.219317100004,16.8730297,0.0174745396,0,zg,30.3633229,23.831320600000002,0.540000021,0.0209999997,20181106219306,604,0x3,0x1,21.7900009,26.3393898,0.0280259345,-0.0842434391,1.45086269e-05,30,1.08000004,1,103999471976858496,zg,58428,,periodic/transit,True,True,2458428.7257246948
1600111100002909,67627547,2458430.7812009542,58430.275474499998,16.7724495,0.0143148089,0,zg,30.3633293,23.831346799999999,0.542999983,0.0160000008,20181108275463,1600,0xb,0x1,22.1499996,26.3415184,0.0235897209,-0.062817052,9.47868011e-06,30,1.02199996,2,103999471976858496,zg,58430,,periodic/transit,True,True,2458430.7818511464
604103100006917,67724021,2458431.7459293706,58431.240219899999,16.6591454,0.0165129341,0,zg,30.363320000000002,23.831351699999999,1.07000005,-0.0260000005,20181109240208,604,0x3,0x1,20.3400002,26.2844086,0.0407705791,-0.0534692965,4.53070425e-05,30,1.03100002,1,103999471976858496,zg,58431,,periodic/transit,True,True,2458431.7465795376
